m,Domain,Task,Organization(s),Organization Categorization,Author(s),Publication date,Year,Reference,Link,Citations,Inclusion criteria,Inclusion criteria met,Parameters,Training compute (FLOPs),Training dataset,Training dataset size (datapoints),Hidden layers,Inference compute (FLOPs),Training time (hours),Equivalent training time (hours),Inference time (ms),Training dataset size (GB),Approach,Dense or sparse model,Training objective,Training compute cost (2020 USD),Self-supervised training,Architecture,Compute Sponsor Categorization,Abstract
TransE,Other,Entity embedding,"CNRS, Google",Industry - Academia Collaboration,"Antoine Bordes, Nicolas Usunier, Alberto Garcia- Duran, Jason Weston, and Oksana Yakhnenko",05/12/2013,2013,Translating Embeddings for Modeling Multi- relational Data,https://papers.nips.cc/paper/2013/hash/1cecc7a77928ca8133fa24680a88d2f9-Abstract.html,4.00E+03,Highly cited,Yes,,1.34E+18,,1.70E+07,,,,,,,,,,17.58,,,Industry,
Visualizing CNNs,Vision,,NYU,Academia,"MD Zeiler, R Fergus",12/11/2013,2013,Visualizing and Understanding Convolutional Networks,https://arxiv.org/abs/1311.2901,1.30E+04,Highly cited,Yes,,5.32E+17,,,,,,,,,,,Predict nearby words,9.02,,,Academia,
Mitosis,Vision,,IDSIA,Academia,"Dan C. Cireşan, Alessandro Giusti, Luca M. Gambardella, Jürgen Schmidhuber",22/09/2013,2013,Mitosis Detection in Breast Cancer Histology Images with Deep Neural Networks,https://link.springer.com/chapter/10.1007/978-3-642-40763-5_51,1.46E+03,ICPR 2012 mitosis detection competition winner,Yes,3.72E+04,1.37E+17,,1.00E+06,,,,,,,,,,2.00,,,Academia,
Word2Vec (large),Language,Semantic embedding,Google,Industry,"T Mikolov, I Sutskever, K Chen, GS Corrado",16/10/2013,2013,Distributed Representations of Words and Phrases and their Compositionality,https://arxiv.org/abs/1310.4546,2.87E+04,Highly cited,Yes,6.92E+09,3.89E+16,,6.92E+05,,,,,,,,,Predict nearby words,0.55,,Recurrent Neural Network,Industry,
DQN,Games,Atari,DeepMind,Industry,"V Mnih, K Kavukcuoglu, D Silver, A Graves",01/01/2013,2013,Playing Atari with Deep Reinforcement Learning,https://arxiv.org/abs/1312.5602,6.68E+03,Highly cited,Yes,8.36E+05,2.30E+15,,,,,,,,,,,,0.04,,,Industry,
Image generation,Vision,Image clustering,Univeristy of Amsterdam,Academia,"DP Kingma, M Welling",20/12/2013,2013,Auto-Encoding Variational Bayes,https://arxiv.org/abs/1312.6114,1.56E+04,Highly cited,Yes,,4.75E+14,MNIST,6.00E+04,,,,,,,,,,0.01,,,Academia,
Image Classification with the Fisher Vector: Theory and Practice,Vision,Image Classification,"Universidad Nacional de Cordoba, Xerox Research Centre Europe, Inteligent Systems Lab Amsterdam, University of Amsterdam, LEAR Team, INRIA Grenoble",Industry - Academia Collaboration,"orge Sanchez, Florent Perronnin, Thomas Mensink, Jakob Verbeek",12/06/2013,2013,Image Classification with the Fisher Vector: Theory and Practice,https://hal.inria.fr/hal-00830491v2/document,1.71E+03,Highly cited,Yes,,9.08E+13,ImageNet,,,,2,,,,,,,0.00,,,,
,Vision,,Stanford,Academia,"R Socher, M Ganjoo, H Sridhar, O Bastani",16/01/2013,2013,Zero-Shot Learning Through Cross-Modal Transfer,https://arxiv.org/abs/1301.3666,1.21E+03,Highly cited,Yes,,,,,,,,,,,,,,,,,Academia,
Maxout Networks ,Vision,Image classification,University of Montreal,Academia," Ian J. Goodfellow, David Warde-Farley, Mehdi Mirza, Aaron Courville, Yoshua Bengio",18/02/2013,2013,Maxout Networks ,https://arxiv.org/abs/1302.4389,2.58E+03,Highly cited,Yes,,,,,,,,,,,,,,,,,Academia,
PreTrans-3L-250H,Speech,Speech recognition,Univeristy of Toronto,Academia,"Alex Graves, Abdel-rahman Mohamed, Geoffrey Hinton",22/03/2013,2013,Speech Recognition with Deep Recurrent Neural Networks,https://arxiv.org/abs/1303.5778,7.79E+03,Highly cited,Yes,4.30E+07,,,,,,,,,,,,,,,,Academia,
,Vision,Object detection,"Univeristy of Trento, University of Amsterdam",Academia,"JRR Uijlings, KEA Van De Sande, T Gevers",02/04/2013,2013,Selective search for object recognition,https://link.springer.com/article/10.1007/s11263-013-0620-5,5.59E+03,Highly cited,Yes,,,,,,,,,,,,,,,,,Academia,
,Vision,,"University of Trento, University of Amsterdam",Academia,"JRR Uijlings, KEA Van De Sande, T Gevers",02/04/2013,2013,Selective search for object recognition,https://link.springer.com/article/10.1007/s11263-013-0620-5,5.59E+03,Highly cited,Yes,,,,,,,,,,,,,,,,,Academia,
,Language,,Microsoft Research,Industry,"T Mikolov, W Yih, G Zweig",09/06/2013,2013,Linguistic Regularities in Continuous Space Word Representations,https://www.aclweb.org/anthology/N13-1090/,3.63E+03,Highly cited,Yes,,,,,,,,,,,,,,,,,Industry,
Word2Vec (small),Language,Semantic embedding,Google,Industry,"T Mikolov, I Sutskever, K Chen, GS Corrado",16/10/2013,2013,Distributed Representations of Words and Phrases and their Compositionality,https://arxiv.org/abs/1310.4546,2.87E+04,Highly cited,Yes,2.08E+08,,,6.92E+05,,,,,,,,,,,,Recurrent Neural Network,Industry,
R-CNN (T-net),Vision,Object detection,UC Berkeley,Academia,"Ross Girshick, Jeff Donahue, Trevor Darrell, Jitendra Malik",11/11/2013,2013,Rich feature hierarchies for accurate object detection and semantic segmentation,https://arxiv.org/abs/1311.2524,1.91E+04,Highly cited,Yes,6.90E+07,,,,,,,,,,,,,,,,Academia,
,,,Stanford,Academia,"R Socher, D Chen, CD Manning, A Ng",01/12/2013,2013,Reasoning With Neural Tensor Networks for Knowledge Base Completion,https://papers.nips.cc/paper/2013/hash/b337e84de8752b27eda3a12363109e80-Abstract.html,1.66E+03,Highly cited,Yes,,,,,,,,,,,,,,,,,Academia,
DBLSTM,Speech,Speech recognition,Univeristy of Toronto,Academia,"A Graves, N Jaitly, A Mohamed",08/12/2013,2013,Hybrid speech recognition with Deep Bidirectional LSTM,https://ieeexplore.ieee.org/document/6707742,1.46E+03,Highly cited,Yes,2.99E+07,,,,,,,,,,,,,,,,Academia,
Network in Network,,,National University of Singapore,Academia,"M Lin, Q Chen, S Yan",16/12/2013,2013,Network In Network,https://arxiv.org/abs/1312.4400,5.50E+03,Highly cited,Yes,,,,,,,,,,,,,,,,,Academia,
,Vision,Image classification,New York University,Academia,"Pierre Sermanet, David Eigen, Xiang Zhang, Michael Mathieu, Rob Fergus, Yann LeCun",21/12/2013,2013,"OverFeat: Integrated Recognition, Localization and Detection using Convolutional Networks",https://arxiv.org/abs/1312.6229,5.15E+03,Highly cited,Yes,,,,,,,,,,,,,,,,,Academia,
AlexNet,Vision,Image classification,University of Toronto,Academia,"Alex Krizhevsky, Ilya Sutskever, Geoffrey Hinton",30/09/2012,2012,ImageNet Classification with Deep Convolutional Neural Networks,https://proceedings.neurips.cc/paper/2012/hash/c399862d3b9d6b76c8436e924a68c45b-Abstract.html,8.51E+04,Highly cited,Yes,6.00E+07,4.70E+17,ImageNet,1.20E+06,8,,,,,,,,,8.00,,,Academia,
Dropout (MNIST),Vision,Character recognition,University of Toronto,Academia,"GE Hinton, N Srivastava, A Krizhevsky",03/06/2012,2012,Improving neural networks by preventing co-adaptation of feature detectors,https://arxiv.org/abs/1207.0580,6.68E+03,Highly cited,Yes,5.59E+06,6.04E+15,MNIST,6.00E+04,2,1.12E+07,,,,0.021,,,,0.10,,,Academia,
MCDNN (MNIST),Vision,Character recognition,IDSIA,Academia,"D Ciregan, U Meier, J Schmidhuber",13/02/2012,2012,Multi-column Deep Neural Networks for Image Classification,https://arxiv.org/abs/1202.2745v1,4.83E+03,Highly cited,Yes,1.99E+06,3.73E+15,MNIST,6.00E+04,3,2.59E+07,,490,,0.021,,,,0.08,,,Academia,
Dropout (TIMIT),Speech,Speech recognition,University of Toronto,Academia,"GE Hinton, N Srivastava, A Krizhevsky",03/06/2012,2012,Improving neural networks by preventing co-adaptation of feature detectors,https://arxiv.org/abs/1207.0580,6.68E+03,Highly cited,Yes,4.88E+07,,TIMIT,4.16E+04,4,,,,,,,,,,,,Academia,
Dropout (CIFAR),Vision,Character recognition,University of Toronto,Academia,"GE Hinton, N Srivastava, A Krizhevsky",03/06/2012,2012,Improving neural networks by preventing co-adaptation of feature detectors,https://arxiv.org/abs/1207.0580,6.68E+03,Highly cited,Yes,,,,,,,,,,,,,,,,,Academia,
Dropout (ImageNet),Vision,Image classification,University of Toronto,Academia,"GE Hinton, N Srivastava, A Krizhevsky",03/06/2012,2012,Improving neural networks by preventing co-adaptation of feature detectors,https://arxiv.org/abs/1207.0580,6.68E+03,Highly cited,Yes,,,ImageNet,1.00E+06,7,,,,,,,,,,,,Academia,
,,,"Karlsruhe Institute of Technology, Toyota Technological Institute at Chicago",Industry - Academia Collaboration,"A Geiger, P Lenz, R Urtasun",16/06/2012,2012,Are we ready for autonomous driving? The KITTI vision benchmark suite,http://www.cvlibs.net/publications/Geiger2012CVPR_slides.pdf,7.14E+03,Highly cited,Yes,,,,,,,,,,,,,,,,,Industry,
,Language,,Google,Industry,"Yuri Lin, Jean-Baptiste Michel, Erez Lieberman Aiden, Jon Orwant, Will Brockman and Slav Petrov",08/07/2012,2012,Syntactic Annotations for the Google Books NGram Corpus,https://aclanthology.org/P12-3029/,4.89E+02,,No,,,,,,,,,,,,,,,,,Industry,
MV-RNN,Language,Text classification,Stanford,Academia,"R. Socher, B. Huval, C. D. Manning, and A. Y. Ng",12/07/2012,2012,Semantic compositionality through recursive matrix-vector spaces,https://www.aclweb.org/anthology/D12-1110/,1.46E+03,Highly cited,Yes,3.51E+06,,,,,,,,,,,,,,,Matrix-Vector RNN,Academia,
,,,"University of Toronto, University of Sherbrooke, Harvard University",Academia,"J Snoek, H Larochelle, RP Adams",02/12/2012,2012,Practical Bayesian optimization of machine learning algorithms,https://arxiv.org/abs/1206.2944,5.67E+03,Highly cited,Yes,,,,,,,,,,,,,,,,,Academia,
,,,"University of Michigan, Stanford University",Academia,"A Coates, A Ng, H Lee",11/04/2011,2011,An analysis of single-layer networks in unsupervised feature learning,http://proceedings.mlr.press/v15/coates11a.html,2.66E+03,Highly cited,Yes,,,,,,,,,,,,,,,,,Academia,
,,,University of Montreal,Academia,"X Glorot, A Bordes, Y Bengio",13/04/2011,2011,Deep sparse rectifier neural networks,http://machinelearning.wustl.edu/mlpapers/paper_files/AISTATS2011_GlorotBB11.pdf,7.22E+03,Highly cited,Yes,,,,,,,,,,,,,,,,,Academia,
,Language,,"Brno University of Technology, Johns Hopkins University",Academia,"T. Mikolov, S. Kombrink, L. Burget, J. Cernock ˇ y, and S. Khudanpur",22/05/2011,2011,Extensions of recurrent neural network language model,https://ieeexplore.ieee.org/document/5947611,1.24E+03,Highly cited,Yes,,,Penn Tree Bank,6.98E+05,,,,,,,,,,,,Recurrent Neural Network,Academia,
,Language,Part-of-speech tagging,"Carnegie Mellon University, Google Research",Industry - Academia Collaboration,"Dipanjan Das, Slav Petrov",19/06/2011,2011,Unsupervised Part-of-Speech Tagging with Bilingual Graph-Based Projections,https://aclanthology.org/P11-1061/,3.16E+02,,No,,,,,,,,,,,,,,,,,Industry,
,Language,,Stanford,Academia,"R. Socher, J. Pennington, E. H. Huang, A. Y. Ng, and C. D. Manning",01/07/2011,2011,Semi-supervised recursive autoencoders for predicting sentiment distributions,https://aclanthology.org/D11-1014/,1.48E+03,Highly cited,Yes,,,,,,,,,,,,,,,,,Academia,
Bayesian Starcraft,Games,,Collège de France,Academia,"G Synnaeve, P Bessiere",31/08/2011,2011,A Bayesian Model for RTS Units Control applied to StarCraft,https://ieeexplore.ieee.org/document/6032006,8.60E+01,,No,1.31E+04,,,,,,,,,,,,,,,,Academia,
,,,"Univeristy of California Berkley, Technion- Israel Institute of Technology, Google",Industry - Academia Collaboration,"J Duchi, E Hazan, Y Singer",03/10/2011,2011,Adaptive Subgradient Methods for Online Learning and Stochastic Optimization,https://dl.acm.org/doi/10.5555/1953048.2021068,8.81E+03,Highly cited,Yes,,,,,,,,,,,,,,,,,Industry,
Domain Adaptation,Vision,Object Recognition,"University of Maryland, College Park",Academia,"Raghuraman Gopalan, Ruonan Li, Rama Chellappa",06/11/2011,2011,Domain Adaptation for Object Recognition: An Unsupervised Approach,http://ftp.idiap.ch/pub/courses/EE-700/material/05-12-2012/2011_ICCV_DomainAdaptation.pdf,1.06E+03,Highly cited,Yes,1.53E+04,,Dataset introduced in 'Adapting Visual Category Models to New Domains',4.65E+03,,,,,,,Supervised,,,,,,Academia,
NLP from scratch,Language,,"NEC Laboratories, Princeton",Industry - Academia Collaboration,"Ronan Collobert, J. Weston, L. Bottou, Michael Karlen, K. Kavukcuoglu, P. Kuksa",08/11/2011,2011,Natural Language Processing (Almost) from Scratch,https://www.jmlr.org/papers/volume12/collobert11a/collobert11a.pdf,7.64E+03,Highly cited,Yes,5.00E+06,,,8.52E+08,,,,,,,,,,,,,Industry,
,,,University of Wisconsin Madison,Academia,"F Niu, B Recht, C Ré, SJ Wright",11/11/2011,2011,HOGWILD!: A Lock-Free Approach to Parallelizing Stochastic Gradient Descent,https://arxiv.org/abs/1106.5730,2.12E+03,Highly cited,Yes,,,,,,,,,,,,,,,,,Academia,
KN5 LM + RNN 400/10 (WSJ),Speech,Transcription,"Brno University of Technology, Johns Hopkins University",Academia,"T. Mikolov, M. Karafiat, L. Burget, J. Cernock ´ y, and S. Khudanpur",26/09/2010,2010,Recurrent neural network based language model.,https://www.researchgate.net/publication/221489926_Recurrent_neural_network_based_language_model,5.67E+03,Highly cited,Yes,8.00E+07,6.14E+16,WSJ,6.40E+06,,1.60E+08,,,,,,,,2.03,,,Academia,
RNN 500/10 + RT09 LM (NIST RT05),Speech,Transcription,"Brno University of Technology, Johns Hopkins University",Academia,"T. Mikolov, M. Karafiat, L. Burget, J. Cernock ´ y, and S. Khudanpur",26/09/2010,2010,Recurrent neural network based language model.,https://www.researchgate.net/publication/221489926_Recurrent_neural_network_based_language_model,5.67E+03,Highly cited,Yes,5.27E+06,3.41E+15,NIST RT05,5.40E+06,,1.05E+07,,,,,,,,0.11,,,Academia,
Feedforward NN,Vision,Digit recognition,University of Montreal,Academia,"X Glorot, Y Bengio",13/05/2010,2010,Understanding the difficulty of training deep feedforward neural networks,https://proceedings.mlr.press/v9/glorot10a.html,1.33E+04,Highly cited,Yes,7.08E+06,3.50E+14,MNIST,,,1.40E+07,,,,,,,,0.01,,,Academia,
6-layer MLP (MNIST),Vision,Character recognition,IDSIA ; University of Lugano & SUPSI,Academia,"Dan Claudiu Ciresan, Ueli Meier, Luca Maria Gambardella, Juergen Schmidhuber",01/03/2010,2010,Deep Big Simple Neural Nets Excel on Handwritten Digit Recognition,https://arxiv.org/abs/1003.0358,1.26E+03,Highly cited,Yes,1.21E+07,1.31E+14,MNIST,6.00E+04,,,,,,,,,,0.01,,,Academia,
,,,"University of Montreal, University of Toronto",Academia,"P Vincent, H Larochelle, I Lajoie, Y Bengio",03/01/2010,2010,Stacked denoising autoencoders: Learning useful representations in a deep network with a local denoising criterion,https://www.jmlr.org/papers/v11/vincent10a.html,6.23E+03,Highly cited,Yes,,,,,,,,,,,,,,,,,Academia,
Word Representations,Language,,"University of Montreal, University of Illinois at Urbana- Champaigne",Academia,"Joseph Turian, Lev-Arie Ratinov, Yoshua Bengio",01/06/2010,2010,Word Representations: A Simple and General Method for Semi-Supervised Learning,https://aclanthology.org/P10-1040.pdf,2.51E+03,Highly cited,Yes,,,,3.70E+07,,,,,,,,,,,,,Academia,
,Vision,,"INRIA, Ecole, NYU",Academia,"YL Boureau, F Bach, Y LeCun",13/06/2010,2010,Learning mid-level features for recognition,https://ieeexplore.ieee.org/document/5539963,1.31E+03,Highly cited,Yes,,,,,,,,,,,,,,,,,Academia,
Deconvolutional Network,Vision,,NYU,Academia,"Matthew D. Zeiler, Dilip Krishnan, Graham W. Taylor and Rob Fergus",13/06/2010,2010,Deconvolutional Networks,https://ieeexplore.ieee.org/document/5539957,1.52E+03,Highly cited,Yes,,,,,,,,,,,,,,,,,Academia,
ReLU (NORB),Vision,Object recognition,University of Toronto,Academia,"Nair, V., Hinton, G. E.",15/06/2010,2010,Rectified linear units improve restricted boltzmann machines,https://dl.acm.org/doi/10.5555/3104322.3104425,1.40E+04,Highly cited,Yes,1.62E+07,,,2.92E+05,,,,,,,,,,,,,Academia,
ReLU (LFW),Vision,Face recognition,University of Toronto,Academia,"Nair, V., Hinton, G. E.",15/06/2010,2010,Rectified linear units improve restricted boltzmann machines,https://dl.acm.org/doi/10.5555/3104322.3104425,1.40E+04,Highly cited,Yes,,,,,,,,,,,,,,,,,Academia,
,,,University of Toronto,Academia,GE Hinton,02/08/2010,2010,A practical guide to training restricted boltzmann machines,https://link.springer.com/chapter/10.1007/978-3-642-35289-8_32,3.34E+03,Highly cited,Yes,,,,,,,,,,,,,,,,,Academia,
,Vision,,Xerox Research Centre Europe (XRCE),Industry,Florent PerronninJorge SánchezThomas Mensink,05/09/2010,2010,Improving the Fisher Kernel for Large-Scale Image Classification,https://link.springer.com/chapter/10.1007/978-3-642-15561-1_11,3.06E+03,Highly cited,Yes,,,,,,,,,,,,,,,,,Industry,
,Recommendation,,Google Inc,Industry,"J Davidson, B Liebald, J Liu, P Nandy",26/09/2010,2010,The YouTube Video Recommendation System,https://dl.acm.org/doi/10.1145/1864708.1864770,1.07E+03,Highly cited,Yes,,,,1.00E+10,,,,,,,,,,,,,Industry,
,Language,,Harvard,Industry - Academia Collaboration,"JB Michel, YK Shen, AP Aiden, A Veres, MK Gray",16/12/2010,2010,Quantitative Analysis of Culture Using Millions of Digitized Books,https://science.sciencemag.org/content/331/6014/176,2.27E+03,Highly cited,Yes,,,,,,,,,,,,,,,,,Industry,
GPU DBNs,Other,,Stanford,Academia,"R Raina, A Madhavan, AY Ng",15/06/2009,2009,Large-scale Deep Unsupervised Learning using Graphics Processors,http://www.machinelearning.org/archive/icml2009/papers/218.pdf,7.89E+02,,No,1.00E+08,1.00E+15,,1.00E+06,,,,,,,,,,0.06,,,Academia,
Deep Boltzmann Machines,,,University of Toronto,Academia,"Ruslan Salakhutdinov, Geoffrey Hinton",16/04/2009,2009,Deep Boltzmann Machines,https://www.sciencedirect.com/topics/computer-science/deep-boltzmann-machine,2.67E+03,Highly cited,Yes,,,,,,,,,,,,,,,,,Academia,
,,,Stanford,Academia,"H Lee, R Grosse, R Ranganath, AY Ng",14/06/2009,2009,Convolutional deep belief networks for scalable unsupervised learning of hierarchical representations,https://dl.acm.org/doi/10.1145/1553374.1553453,2.96E+03,Highly cited,Yes,,,,,,,,,,,,,,,,,Academia,
BellKor 2008,Recommendation,Movie ratings,AT&T Labs,Industry,"RM Bell, Y Koren, C Volinsky",01/08/2009,2009,The BellKor 2008 Solution to the Netflix Prize,https://www.researchgate.net/publication/228766792_The_BellKor_2008_solution_to_the_Netflix_Prize,1.58E+02,,No,,,Netflix Prize,1.00E+08,,,,,,,,,,,,,Industry,
RL mapping instructions (games),Reading,Instruction interpretation,MIT,Academia,"SRK Branavan, H Chen, LS Zettlemoyer, R Barzilay",01/08/2009,2009,Reinforcement Learning for Mapping Instructions to Actions,https://aclanthology.org/P09-1010/,2.95E+02,,No,8.09E+04,,Windows Help and Support,2.93E+02,,,,,,,,,,,,Log-linear model?,Academia,
,Recommendation,Movie ratings,AT&T Labs,Industry,Y Koren,01/08/2009,2009,The BellKor Solution to the Netflix Grand Prize,https://www2.seas.gwu.edu/~simhaweb/champalg/cf/papers/KorenBellKor2009.pdf,5.07E+02,,No,,,Netflix Prize,1.00E+08,,,,,,,,,,,,,Industry,
,Recommendation,Movie ratings,AT&T Labs,Industry,"A Töscher, M Jahrer, RM Bell",01/08/2009,2009,The BigChaos Solution to the Netflix Grand Prize,https://www.asc.ohio-state.edu/statistics/statgen/joul_aut2009/BigChaos.pdf,2.37E+02,,No,,,Netflix Prize,1.00E+08,,,,,,,,,,,,,Industry,
,Recommendation,Movie ratings,Pragmatic Theory Inc.,Industry,"M Piotte, M Chabbert",01/08/2009,2009,The Pragmatic Theory solution to the Netflix Grand Prize,https://www.asc.ohio-state.edu/statistics/statgen/joul_aut2009/PragmaticTheory.pdf,1.11E+02,,No,,,Netflix Prize,1.00E+08,,,,,,,,,,,,,Industry,
RL mapping instructions (troubleshooting),Reading,Instruction interpretation,MIT,Academia,"SRK Branavan, H Chen, LS Zettlemoyer, R Barzilay",02/08/2009,2009,Reinforcement Learning for Mapping Instructions to Actions,https://aclanthology.org/P09-1010/,2.95E+02,,No,1.33E+05,,Windows Help and Support,1.33E+03,,,,,,,,,,,,Log-linear model?,Academia,
,Recommendation,,"AT&T Labs, Yahoo Research",Industry,"Yehuda Koren, Robert Bell, and Chris Volinsky",07/08/2009,2009,Matrix factorization techniques for recommender systems,https://ieeexplore.ieee.org/document/5197422,8.91E+03,Highly cited,Yes,,,Netflix Prize,1.00E+08,,,,,,,,,,,,,Industry,
,Language,,"University of Edinburgh, University of Pittsburgh",Academia,"Theresa Wilson, Janyce Wiebe, Paul Hoffmann.",01/09/2009,2009,Recognizing Contextual Polarity: An Exploration of Features for Phrase-Level Sentiment Analysis,https://aclanthology.org/J09-3003.pdf,7.87E+02,,No,,,,1.11E+04,,,,,,,,,,,,,Academia,
BellKor 2007,Recommendation,Movie ratings,AT&T Labs,Industry,"RM Bell, Y Koren, C Volinsky",21/09/2009,2009,The BellKor solution to the Netflix Prize,https://www.semanticscholar.org/paper/The-BellKor-solution-to-the-Netflix-Prize-Bell-Koren/f4ebb542c752a0dc423f94fd121e2edb8f6275ba,2.38E+02,,No,,,Netflix Prize,1.00E+08,,,,,,,,,,,,,Industry,
,3D reconstruction,,"University of Washington, Cornell, Microsoft Research",Industry - Academia Collaboration (Academia leaning),"Sameer Agarwal, Noah Snavely, Ian Simon, Steven M. Seitz and Richard Szeliski",29/09/2009,2009,Building Rome in a Day,https://grail.cs.washington.edu/rome/,2.20E+03,Highly cited,Yes,,,,,,,,,,,,,,,,,Industry,
,Language,,University of Colorado & New Mexico State University,Academia,"Thomas K Landauer, Peter W. Foltz & Darrell Laham",11/11/2009,2009,An Introduction to Latent Semantic Analysis,https://www.tandfonline.com/doi/abs/10.1080/01638539809545028,6.42E+03,Highly cited,Yes,,,,,,,,,,,,,,,,,Academia,
,,,"University of Montreal, Microsoft Research",Academia,Y Bengio,15/11/2009,2009,Learning deep architectures for AI,https://www.nowpublishers.com/article/Details/MAL-006,9.78E+03,Highly cited,Yes,,,,,,,,,,,,,,,,,Academia,
,Vision,,"University of Chicago & Toyota Technological Institute, Chicago & University of California, Irvine",Academia,"Pedro Felzenszwalb, David McAllester, Deva Ramanan",23/06/2008,2008,"A discriminatively trained, multiscale, deformable part model",https://ieeexplore.ieee.org/abstract/document/4587597,3.09E+03,Highly cited,Yes,,,,,,,,,,,,,,,,,Academia,
Denoising Autoencoders,,,University of Montreal,Academia,"Pascal Vincent, Hugo Larechelle, Yoshua Bengio, Pierre- Antoine Manzagol",05/07/2008,2008,Extracting and Composing Robust Features with Denoising Autoencoders,https://dl.acm.org/doi/10.1145/1390156.1390294,6.30E+03,,Yes,,,,,,,,,,,,,,,,,Academia,
,,,"Google, NUANCE Communications, UIUC, IDIAP",Industry - Academia Collaboration,"Jason Weston, Frederick, Ratle, Hossein Mobahi, Ronan Collobert",05/07/2008,2008,Deep Learning via Semi-Supervised Embedding,https://dl.acm.org/doi/10.1145/1390156.1390303,1.09E+03,,Yes,,,,,,,,,,,,,,,,,Industry,
,Language,,NEC Laboratories,Industry,"R Collobert, J Weston",05/07/2008,2008,A unified architecture for natural language processing: Deep neural networks with multitask learning,https://dl.acm.org/doi/10.1145/1390156.1390177,5.76E+03,Highly cited,Yes,,,,6.31E+08,,,,,,,,,,,,Convolutional Neural Network,Industry,
Stacked Semisuperviser Autoencoders,Language,Document representation,New York University and Microsoft Research Cambridge,Industry - Academia Collaboration,"MA Ranzato, M Szummer",15/07/2008,2008,Semisupervised learning of compact document representations with deep networks,https://dl.acm.org/doi/10.1145/1390156.1390256,2.43E+02,,No,3.00E+06,,,6.61E+04,,,,,,,,,,,,,Industry,
Boss (DARPA Urban Challenge),Driving,Self-driving car,Carnegie Mellon University,Industry - Academia Collaboration,"Chris Urmson, Joshua Anhalt, Drew Bagnell,Christopher Baker, Robert Bittner,M. N. Clark, John Dolan, Dave Duggins,Tugrul Galatali, Chris Geyer,Michele Gittleman, Sam Harbaugh,Martial Hebert, Thomas M. Howard,Sascha Kolski, Alonzo Kelly,Maxim Likhachev, Matt McNaughton,Nick Miller, Kevin Peterson, Brian Pilnick,Raj Rajkumar, Paul Rybski, Bryan Salesky,Young-Woo Seo, Sanjiv Singh, Jarrod Snider,Anthony Stentz, William “Red” Whittaker,Ziv Wolkowicki, and Jason Ziglar",23/07/2008,2008,Autonomous Driving in UrbanEnvironments: Boss and theUrban Challenge,https://onlinelibrary.wiley.com/doi/abs/10.1002/rob.20255,1.84E+03,Highly cited,Yes,,,,,,,,,,,,,,,,,Industry,
,Vision,,"Univeristy of Lubeck, Germany",Academia,"Kai Labusch, Erhadt Barth, Thomas Martinetz",19/11/2008,2008,Simple method for high-performance digit recognition based on sparse coding,https://pubmed.ncbi.nlm.nih.gov/19000969/,1.24E+02,,No,,,,,,,,,,,,,,,,,Academia,
BigChaos 2008,Recommendation,Movie ratings,AT&T Labs,Industry,"A Töscher, M Jahrer",25/11/2008,2008,The BigChaos Solution to the Netflix Prize 2008,https://www.researchgate.net/publication/228419683_The_bigchaos_solution_to_the_netflix_prize_2008,3.50E+01,Historical relevance,Yes,,,Netflix Prize,1.00E+08,,,,,,,,,,,,,Industry,
Semantic Hashing,Other,,University of Toronto,Academia,"R Salakhutdinov, G Hinton",10/12/2008,2008,Semantic Hashing,https://www.cs.cmu.edu/~rsalakhu/papers/sdarticle.pdf,1.49E+03,Highly cited,Yes,2.60E+06,,,3.11E+05,,,,,,,,,,,,,Academia,
,Language,,University of Edinburgh,Academia,"Philipp Koehn, Hieu Hoang, Alexandra Birch, Chris Callison-Burch",01/06/2007,2007,Moses: Open Source Toolkit for Statistical Machine Translation,https://aclanthology.org/P07-2045.pdf,6.10E+03,Highly cited,Yes,,,,,,,,,,,,,,,,,Academia,
λ-WASP,Language,,UT Austin,Academia,"YW Wong, R Mooney",01/06/2007,2007,Learning Synchronous Grammars for Semantic Parsing with Lambda Calculus,https://www.aclweb.org/anthology/P07-1121/,3.83E+02,,No,4.90E+05,,,7.92E+02,,,,,,,,,,,,Statistical Alignment Model?,Academia,
,,,University of Montreal,Academia,"Hugo Larechelle, Dumithru Erhan, Aaron C Courville, James Bergsta, Yoshua Bengio",01/06/2007,2007,An empirical evaluation of deep architectures on problems with many factors of variation,https://dl.acm.org/doi/10.1145/1273496.1273556,1.12E+03,,Yes,,,,,,,,,,,,,,,,,Academia,
Restricted Bolzmann machines,Recommendation,,University of Toronto,Academia,"Russ Salukhutdinov, Andriy Mnih, GE Hinton",20/06/2007,2007,Restricted Boltzmann machines for collaborative filtering,https://dl.acm.org/doi/abs/10.1145/1273496.1273596?casa_token=cfdkH2x12MwAAAAA:sEUzfllIGyPcOfzgUoDPHlpC1ukfCAo8ewocBXWBswIIF9eS5HdFo30nOtfmIV8gm-XpBpQJJ5zYVO8,2.14E+03,,Yes,,,Netflix Prize,1.00E+08,,,,,,,,,,,,,Academia,
,Recommendation,,Warsaw University,Academia,A Paterek,12/08/2007,2007,Improving regularized singular value decomposition for collaborative filtering,https://www.semanticscholar.org/paper/Improving-regularized-singular-value-decomposition-Paterek/f732d0f69fe4e84a95c32706b28b9e4ef1753c61,1.12E+03,Highly cited,Yes,,,Netflix Prize,1.00E+08,,,,,,,,,,,,,Academia,
